,课程,知识点,相关课程
334,走近中华优秀传统文化,"文化,中华文化,中华优秀传统文化,文化的主要特征,文化的基本精神,中华优秀传统文化的核心理念,正确认识和弘扬中华优秀传统文化,以民为本,天下大同的理想与实践,勤俭廉政",
335,编译技术,"编译器,词法分析,语法分析,形式语言理论,语法分析技术,中间代码生成,代码优化技术,循环优化,数据流分析,并行编译技术,静态分析,动态分析,编译器前端,后端设计,正则表达式,自动机,预测分析,代码优化","计算机组成原理,数据结构,程序设计,操作系统,C语言程序设计,Java程序设计"
336,激光及其应用,"激光与热光,激光器谐振腔内的物理原理,激光速率方程组,激光辐射的基本特性,激光与物质的相互作用,激光加工技术,激光测量技术,激光的工业应用",大学物理
337,会计信息系统,"会计学,会计信息系统,会计信息系统的分析与设计,账套与基础数据管理,凭证管理,出纳管理,账簿管理,报表管理,系统运行管理,系统实施,深入理解系统的设计思想和方法","数据库原理,初级财务会计"
338,道路工程材料,"材料的性质与分类,水泥及其制品,沥青及其制品,集料与填料,道路基层,底基层材料,道路面层材料,材料测试,材料的经济性,可持续发展",
339,中级管理会计,"管理会计,会计学,成本会计,成本控制,预算管理,弹性预算,固定预算,成本差异分析,作业成本法,管理决策,成本效益分析,绩效评估,战略成本管理,风险管理,内部控制,全球化与跨文化视角下的管理会计,跨文化,信息技术,数据分析,云计算,大数据",初级管理会计
340,学术之道,"大学生生涯规划,学术成长历程,责任感与使命感,追求科学与真理,经典阅读,小组讨论,写作与导修,科学、人文与艺术的关联,学术规范,个人发展与职业规划",
341,创业管理四季歌：艺术思维与技术行动,"创业入门知识,创业管理,艺术思维,技术行动,精益启动板块,模式创新板块,商业模式,价值创造板块,融资,永续成长板块,创业生态系统,创业伦理,技术创新,可持续发展,创业管理趋势动态,反思创业管理金字塔和四季歌,企业家精神",
342,管理学原理,"管理学,古典管理理论,行为科学理论,现代管理理论,组织结构与设计,激励理论,冲突管理,领导理论,团队建设,创新管理,项目管理,决策制定,质量管理,人力资源管理,战略管理,个人职业发展",
343,普通化学,"化学,原子结构,分子结构,四大平衡,化学热力学基础,热力学第一定律,热力学第二定律,吉布斯自由能与反应自发性,化学动力学基础,有机化学,生命科学,环境科学,材料科学",
344,恢复生态学,"生态恢复,生态学,土壤恢复技术,水体恢复技术,森林恢复技术,草原恢复技术,生态恢复项目,跨学科,管理学,社会学","生态学,环境科学概论"
345,西方哲学I：古代部分,"哲学,古希腊哲学,希腊化时期的哲学,斯多葛主义,伊壁鸠鲁主义,罗马哲学,基督教哲学,中世纪哲学,经院哲学",西方哲学史
346,微生物学,"微生物,微生物的生理生化,微生物的遗传,微生物的生态,微生物的传染与免疫,生理生化特征,分子生物学,免疫系统,疫苗的制备与应用,微生物群落","植物学,动物学,生物学"
347,新闻摄影,"新闻摄影的基础理论,新闻摄影的实务技能,新闻摄影的组织结构与运作模式,新闻摄影的趋势与发展方向,社交媒体,数字化,互联网,未来趋势预测,多媒体教学",传播学原理
348,《纯粹理性批判》导论,"康德哲学,哲学,《纯粹理性批判》的结构与内容,理性与经验的关系,先验感性论,先验逻辑,先验辩证法,先验方法论,康德的认识论,康德的形而上学,伦理学",西方哲学史
349,西方哲学II：近代部分,"文艺复兴,宗教改革,单子论,身二元论,乐观主义哲学,经验主义,白板说,政治哲学,怀疑主义,人性论,道德哲学,启蒙运动,法国启蒙运动,德国启蒙运动,启蒙运动,浪漫主义","西方哲学I：古代部分,西方哲学史"
350,营销：人人都需要的一门课,"营销与销售的区别,市场分析,SWOT分析,竞争对手分析,消费者行为,产品策略,价格策略,促销策略,品牌管理,服务营销,营销伦理,社会责任,营销创新","管理学,经济学"
351,巴蜀文化,"文化,中华文化,巴蜀文化的起源与发展,地理环境与人文特色,巴蜀古代文明遗迹,巴蜀文学与艺术,历史人物与故事,饮食文化,宗教信仰,哲学思想,现代巴蜀文化的传承与发展,巴蜀非物质文化遗产",
352,知识产权法与创新保护,"知识产权法概论,专利法,商标法,著作权法,反不正当竞争法,商业秘密法,侵权责任法,商事仲裁与诉讼,数字时代的知识产权保护,国际知识产权法",思想道德修养与法律基础
353,大学化学,"化学,原子结构,波粒二相性,德布罗意物质波,海森堡测不准原理,微观粒子运动的统计性,薛定谔方程,原子轨道,电子云与波函数,钻穿效应,屏蔽效应,核外电子的排布,能量最低原理,泡利不相容原理,洪特规则,原子核外电子,核外电子",
354,基于Linux的C++,"C++程序设计,数据组织,算法设计,程序组织,面向对象程序设计,继承,多态,封装,抽象,设计模式,泛型编程,模板类,进程管理,线程管理,内存管理,设备驱动程序,网络编程,调试工具,Makefile和自动化构建,Linux命令行工具",Linux系统管理
355,建筑室内热环境模拟及应用,"建筑能耗模拟软件DeST的介绍,建筑热湿环境模拟,建筑及空调系统辅助设计,围护结构优化设计,建筑节能,DeST软件,采暖空调系统的模拟,输入数据,模拟结果","工程热力学（上）,大学物理1 (力学、热学)"
356,地质学与工程地质,"地球的形成与演化,地下水,常见岩石与矿物,内外动力地质作用,岩石的分类,矿物的物理性质,内力作用,地质构造的形成与演变,地质年代,地质图,地质构造,工程地质学,岩土体的工程地质性质,专门工程地质问题分析原理与方法,地基处理技术,地下工程","微积分,线性代数,数字电路"
357,汇编语言程序设计,"汇编语言,计算机系统结构,指令集初步,数制与整数表示,浮点数表示,80x86计算机组织,保护模式,80x86计算机组织,保护模式,X86指令系统,寻址方式,C与X86汇编,MIPS架构介绍,MIPS指令系统,MIPS寻址方式",C语言程序设计
358,高级大数据系统,"大数据,分布式系统设计的一般原则,CAP定理,BASE理论,数据存储,分布式文件系统,数据仓库,OLAP系统,MapReduce模型,Hadoop生态系统,流处理框架,实时处理,数据预处理,数据挖掘算法,机器学习,可视化,可视化分析,大数据安全,隐私保护,大数据系统,工业应用,开源项目,社区参与","操作系统,数据结构,汇编语言程序设计"
359,MEMS与微系统,"基础力学,物理学,MEMS的基础理论,微加工技术,封装集成技术,封装材料,封装可靠性,MEMS,集成电路的集成技术,MEMS的设计与制造,传感器,执行器,RF MEMS,光学MEMS,BioMEMS与微流体,微生物","半导体工艺,力学"
360,创新材料学,"半导体,微电子封装,平板显示器,白光LED固体照明,化学电池,太阳电池,核能利用,能量及信号转换,电磁屏蔽,环境保护,可持续发展",
361,数字集成电路分析与设计,"集成电路器件基础,晶体管,CMOS反相器,CMOS反相器的电路结构,动态分析,组合逻辑电路,门电路,多级逻辑电路的分析方法,时序逻辑电路,触发器,时钟信号,时钟树的设计,算术运算逻辑功能部件,加法器,ALU,互连线模型,互连线寄生,数字集成电路设计方法,版图设计,布局布线,设计验证,电路结构原理,低功耗设计技术,高速电路设计技术","数字逻辑,微积分"
362,创业启程,"创业起步,创业的价值与意义,激发创业兴趣,塑造创业精神,创业机会识别,市场调研,客户需求分析,机会评估,创业企业设计,创业融资,财务管理,市场营销,品牌建设,创业企业的运营与管理,人力资源管理,员工激励,创业风险,危机管理,风险评估,创业案例,创业模型",
363,水彩,"艺术理论,水彩画简介,工具材料,水彩画写生裱纸方法,水彩画基本技法,水彩画特殊技法,水彩静物表现手法,水彩风景表现手法,",
364,工程职业伦理,"工程伦理,《华盛顿协议》,工程伦理教育,跨文化,工程伦理教育,伦理决策,平衡利益,伦理冲突,工程项目",
365,决胜移动互联网：创业者的商业模式课,"商业模式,移动互联网的发展趋势,商业模式的设计与创新,打造爆款产品的策略,创业者的生存与发展,传统企业的互联网+转型,投资人的视角,从0到1的管理,投资决策,数字化转型,团队建设,文化塑造,市场定位,差异化,资源整合,外部合作",
366,《统万城》导读,"历史,统万城的历史背景,赫连勃勃家世经历,赫连勃勃家族复兴,赫连大夏辉煌一时,匈奴部族神秘消失,赫连勃勃生命中的重要人物,鸠摩炎出生入世,鸠摩炎弃相东来,鸠摩罗什名震西域,鸠摩罗什东来凉州,鸠摩罗什功成草堂",
367,企业战略管理,"企业战略管理,中国情境下的企业战略管理,静态模式,动态模式,外部环境,内部条件,战略选择,战略手段,全球视野,国内情境","管理学,经济学,营销学,初级财务会计"
368,Web基础,"HTML与CSS,HTML5,基本网页结构,响应式布局,流体网格,CSS3,JavaScript,函数,变量,数据类型,运算符,控制结构,jQuery,DOM操作,事件处理,ES6,Node.js,前后端分离开发模式",高级语言程序设计技术
369,生活英语听说,"语言学,个人信息的介绍与交换,饮食与用餐,英语学习,情感表达",
370,生活英语进阶,"语言学,文化,技术与工程,心理学,经济学,管理学,社会学","生活英语听说,生活英语读写"
371,系统化产品设计与开发,"市场需求分析,产品概念生成,产品设计,成本与质量控制,成本估算,预算管理,效率,成本效益分析,供应链管理,上市策略,时间规划,知识产权保护,团队协作,知识产权侵权预防,风险管理,市场风险,财务风险","高等数学,大学物理,工程力学,经济学,管理学"
372,高频电子线路,"高频电路,高频小信号放大器,放大器,正弦波振荡器,振幅调制与解调,混频电路,角度调制与解调,反馈控制电路","高等数学,数字电路"
373,结构力学,"静定结构,超静定结构,力法、位移法和混合法,连续梁和框架,影响线,矩阵位移法,结构动力学,结构稳定性,结构的极限分析,计算机辅助结构分析","高等数学,线性代数,力学,材料力学"
374,日语交际功能语法,"语言学,日语语法,日本文化,语法点详解,难点解析,实用情景对话,对比中文和日语的语法差异,常见句型,表达方式",日语与日本文化
375,山野菜认知与开发利用,"“药食同源”的思想,山野菜学,山野菜资源,绿色食品生产,耐盐植物,耐旱、耐寒植物,芳香植物,生物学,营养成分,药用成分,药理学,文化,植物学",
376,Grasshopper参数化设计与建模,"Grasshopper简介,参数化设计,数据结构,节点,数据流,数学运算符,几何建模,数据管理,动态输入和输出,分支数据流,嵌套数据结构,Python/C#,物理模拟,动力学,设计理论,项目开发",
377,ARM微控制器与嵌入式系统,"C语言编程,指针,内存管理,ARM微控制器简介,微控制器,嵌入式系统,时钟管理,电源管理,开发环境,开发工具链,软件开发,嵌入式系统,任务管理,实时操作系统,信号量,互斥锁,时间管理,通信协议,数模转换,模数转换,电机控制,PWM输出,传感器,执行器,系统整合,故障诊断,测试策略,项目规划,文档编制",C语言程序设计
378,医学寄生虫学,"寄生虫学,医学原虫学,医学蠕虫学,医学节肢动物学,寄生虫病的流行病学,寄生虫病,病理生理学,寄生虫病,寄生虫病的治疗,寄生虫病的预防","生物化学,细胞生物学,人体解剖学,生理学,生物学"
379,临床流行病学,"医学,临床流行病学,流行病学测量,临床流行病学研究设计,诊断试验,ROC曲线,诊断试验,分析性研究,临床试验,疾病预后,病因学,临床决策,经济学,研究伦理,统计软件,数据分析,统计推断,临床研究","流行病学,医学统计学"
380,教育环境中跨文化交流的秘密,"文化,中华文化,跨文化交流,文化差异,跨文化语言交流的秘密,跨文化非语言交流,跨文化人际交往,礼仪与习俗,语言障碍,文化冲突,个体主义,集体主义,沟通技巧",
381,大学生安全与保护,"校园安全,法律法规,人身安全,财产安全,消防安全,交通安全,食品安全,网络安全,应急处理,心理安全,实习与社会实践安全,国际交流安全",
382,互联网企业估值,"互联网企业估值,企业价值评估,收益法,市场法,成本法,企业战略管理","经济学,管理学,会计学,金融学"
383,视觉传达设计思维与方法,"设计思维,研究型设计,设计调研,数据分析,设计理论,心理学,传播学,设计伦理学,回溯法,演绎法,类比法,归纳法,设计管理,生命周期,时间管理,成本控制,设计思维,逻辑思维,跳跃思维,跨学科,格律设计观,系统设计",
384,计算几何,"计算几何基础,几何问题求解范式,递增式构造,分而治之策略,分层化方法,近似算法,随机化算法,Voronoi图,点定位算法,范围查找,截窗查询,算法设计,算法复杂度分析,算法优化,几何数据,地理信息系统,机器人路径规划,计算机图形学,计算机辅助设计","C语言程序设计,数据结构"
385,英汉语言对比,"语言学,语言比较,文字起源,姓名文化,文化,标点符号的使用,词汇构成,流行语与热词,跨文化交流,语言运用与鉴赏",
386,数理统计及概率论,"概率论,随机变量,重要分布,离散型,连续型随机变量,分布函数,概率密度函数,二项分布,泊松分布,正态分布,指数分布,边缘分布,多维随机变量,边缘分布,条件分布,相关性与协方差,大数定律,中心极限定理,数理统计基础,参数估计,假设检验,回归分析,非参数统计方法,秩相关系数,Kruskal-Wallis检验",高等数学
387,从音乐到影像,"音乐的基本要素,音乐的结构与形式,音乐与情感表达,音乐在电影中的作用,音乐与叙事结构,音乐与影像的互动,音乐的现场示范,电影配乐实例分析,音乐创作与制作,电影音乐的历史与发展,历史",
388,大学国文——先秦至唐文学赏析,"文学,中华文化,中国古代文学,先秦文学,两汉文学,魏晋南北朝文学,隋唐文学,古代文学批评,鉴赏方法,作家生平,作品风格,社会历史,",
389,适老居住空间与环境设计,"人口老龄化现状,养老居住政策,养老产业,养老地产的发展,老龄化问题,无障碍设计,适老居住空间,环境设计原则,老年设施及社区环境的规划,建筑设计,老年住宅的改造与装修,智能化与技术,安全监控,紧急呼叫系统,健康监测,健康管理,心理与社会因素,法律法规,伦理问题",
390,中国建筑史——史前至两宋辽金,"建筑设计,建筑史,中国建筑的类型,古代建筑思想,夏商时期建筑,秦汉时期的中国文明与城市,木结构建筑技术,隋唐时期的砖石结构建筑技术,五代两宋辽金西夏的历史与城市概述,北宋汴梁城与平江城",中国建筑史（上）
391,财务报表分析逻辑与技巧,"经济学,资产负债表,利润表,现金流量表,所有者权益变动表,勾稽关系,财务报表分析,趋势分析,质量分析法,现金流量质量分析,利润质量分析,负债质量分析,资产质量分析,分析路径和技巧,财务比率分析,财务报表质量评估,会计学","经济学,财务报表分析"
392,中国建筑史——元明清与民居,"建筑设计,建筑史,中国建筑的类型,古代建筑思想,元代的科技建筑,明代制度重建,城市与建筑综述,信仰生活与礼制宗教建筑,工商行业与商业会馆建筑,娱乐生活与演出建筑,艺术和科学","中国建筑史——史前至两宋辽金,中国建筑史（上）"
393,财务报表分析,"会计学,经济学,财务报表分析,财务报表的主要组成部分,资产负债表,利润表,现金流量表,所有者权益变动表,比率分析,趋势分析,财务报表粉饰识别,会计政策,财务报表分析,财务预测,经营决策",
394,力学,"牛顿定律,运动定理,连续介质力学,动量守恒定律,振动与波,狭义相对论,四维时空与四矢量,相对性原理,时间膨胀,长度收缩,洛伦兹变换,阻尼振动,受迫振动,流体静力学,动力学",微积分
395,互联网金融,"互联网,金融学,互联网金融概述,互联网金融的基本技术,云计算,大数据,区块链技术,人工智能,P2P网络信贷,风险管理,监管政策,众筹融资,电子货币,数字货币,电子支付,互联网银行,互联网证券,互联网保险,互联网金融的风险控制,互联网金融,互联网金融的创新与展望",金融学
396,经济学,"供求理论,经济学,消费者行为理论,生产理论,生产函数,成本理论,市场结构理论,收入分配理论,劳动市场,宏观经济学,简单国民收入决定,IS-LM模型,总需求-总供给模型,宏观经济政策,经济增长理论",微积分
397,投资银行学,"投资银行学导论,投资银行学导论,证券发行与承销业务,证券交易业务,兼并与收购业务,资产证券化业务,风险投资,股权投资,资产管理业务,投资银行的风险防范,外部监管","经济学,金融学,投资学"
398,货币金融学,"金融市场,金融机构,货币与货币政策,货币需求理论,运营模式,特征分析",经济学
399,定格身边的美——数码摄影攻略,"艺术理论,摄影器材介绍,曝光原理,构图法则,色彩理论,深度控制,动态捕捉,后期处理,人像摄影,风景摄影,街头摄影,经典摄影作品赏析,当代摄影师作品解读,学生作品分享与讨论",
400,采油工程,"油井流入动态,井筒流动规律,节点分析方法,人工举升技术,气举采油,有杆泵采油,注水,水利压裂,酸处理,设备原理",流体力学
401,《红楼梦》的空间艺术,"中华文化,建筑空间,建筑图景,庭院叙事视点,园林场景,空间分割与比较,香气空间,嗅觉审美,建筑空间与人体比喻,中西建筑风格比较,香气韵调的温度",
402,生活中的市场营销学,"市场营销,消费者行为分析,竞争对手分析,竞争环境分析,差异化战略,成本领先战略,集中化战略,市场细分,市场定位,市场营销组合,产品策略,价格策略,促销策略,渠道策略,日常消费行为,数字营销",
403,土力学,"土力学理论,土的分类与性质,有效应力原理,土的渗透性,土的压缩性,土的抗剪强度,地基承载力分析,边坡稳定性分析,地基处理方法,土压力理论,土的物性试验,直接剪切试验,渗透试验","微积分,工程力学"
404,管理咨询,"管理咨询概论,现代管理咨询特征,管理咨询流程,咨询市场需求,企业需求分析,市场趋势分析,客户需求调研,咨询服务供给,生命周期,技术变革,管理理论,文化环境,跨学科,公司战略,财务管理,市场营销",管理学
405,国际私法,"国际私法的定义,国际私法的历史,法律冲突,国际私法的基本制度,“一国两制”下的国际私法问题,电子商务中的国际私法问题",思想道德修养与法律基础
406,社会研究方法,"社会研究概论,科学精神,研究设计,数据收集,问卷设计与调查,观察与访谈,数据分析,研究评价,科研伦理",
407,科学运动与健康,"运动生理学,生理学,减肥塑形,形体矫正,力量训练,运动营养,运动安全,运动,心理健康,个性化锻炼计划",
408,多元微积分,"多元函数的基础,极限与连续性,偏导数与全微分,方向导数与梯度,隐函数定理与反函数定理,多元函数的极值,多重积分,向量微积分,格林公式,斯托克斯定理,高斯散度定理,散度与旋度",
409,山水画技法,"艺术理论,中国山水画的历史发展,审美旨趣,笔墨与材料,笔墨训练方法,披麻皴,牛毛皴,斧劈皴,树干法,出枝法",
410,自动控制理论（1）,"控制系统的概论,反馈原理,控制系统,微分方程,机理法建模,拉普拉斯变换,传递函数,频率响应,数据驱动模型,动态系统的时间响应,结构属性,稳定性分析,稳态精度,动态性能,时域频域分析方法,PID控制器,参数整定法,超前滞后校正","微积分,复变函数,数字逻辑"
411,自动控制理论（2）,"状态空间描述,线性变换,特征值规范型,状态方程的解,预解矩阵,矩阵指数,渐近稳定性,状态的能控性和能观性,能控性及能观性的判据和规范型,系统的标准结构分解,传递函数和能控能观性的关系,传递函数的实现和最小实现,状态反馈,输出反馈,基于状态反馈的极点配置,状态的全维和降维观测器,变分法,极大值原理,线性系统二次型",微积分，自动控制理论（1）
412,管理沟通的艺术,"管理学,管理沟通概论,沟通障碍,语言沟通,非语言沟通,跨文化,谈判技巧,会议沟通,媒体沟通",
413,微观经济学原理,"经济学,微观经济学概论,供求理论,消费者行为,效用理论,生产与成本,市场结构,完全竞争市场,市场失灵与政府干预,要素市场,市场失灵,政府干预",
414,普通生物学,"细胞生物学,生物学,分子生物学,高等植物体,遗传的分子基础,基因表达调控,生物技术及其应用,遗传疾病,高等动物体,免疫系统,神经系统,内分泌系统,人体的调节机制",
415,通用学术英语,"语言学,学术英语技能,词汇学习,长难句分析,写作,听力,口语,批判性思维,文献检索,跨文化,社会语言能力",
416,简明线性代数,"向量与向量空间,行列式,矩阵与线性方程组,向量的线性相关性,逆矩阵,矩阵的初等变换,高斯消元法,线性相关,线性无关,基与维数,特征值与特征向量,相似矩阵,对角化,实对称矩阵,谱定理,正交对角化",
417,医学科研设计,"医学,医学科研,科学研究的假说,医学科研设计,统计学,医学科研的误差控制,医学形态学研究的基本策略,生物化学,分子生物学,细胞生物学,动物行为学,机能学,实验结果,数据分析",
418,钢筋混凝土耐久性导论,"钢筋混凝土耐久性基础知识,材料耐久性,三要素分析法,日常生活和工程实践,设计优化,新材料与新技术","土木工程材料,建筑材料"
419,大数据机器学习,"统计学习,监督学习,强化学习,损失函数与优化,泛化能力,偏差与方差,线性模型,决策树与随机森林,支持向量机,集成学习,聚类算法,降维技术,异常检测,深度学习,神经网络,卷积神经网络,循环神经网络,深度学习,生成对抗网络,迁移学习,强化学习与深度学习,",人工智能
420,世界文明史,"历史,人类文明,古代文明的诞生及其多元发展,古埃及文明,两河文明,印度河文明,黄河流域文明,地中海文明,中古文明的褪变与重生,基督教与伊斯兰教,西方文明,文艺复兴,启蒙运动,近代西方文明,科学革命,工业革命,殖民扩张,政治变革,现代多元文明的冲突与融合",
421,积极心理学（上）厚德载物篇,"心理学,积极心理学,幸福的定义,主观幸福感,品格优势与美德,习得性乐观,积极情绪,亲社会心理与行为,人际关系和沟通,亲密关系,爱情",
422,积极心理学（下）自强不息篇,"心理学,积极心理学,福流,积极动机,价值观与意义,积极自我,坚毅与自律,创造力与美,积极身心,积极心理应用,积极心理干预",积极心理学（上）厚德载物篇
423,花卉鉴赏,"花卉鉴赏概论,植物学,常见花卉鉴赏与识别,蔷薇科花卉,十大名花,多肉植物,芳香植物,其他主题花卉",
424,计算机辅助设计,"CAD理论基础,参数化绘制,程序开发,宏编程原理,宏程序开发,规划求解,回归分析,AutoCAD应用,零件图绘制,设备装配图绘制,二次开发,3D打印文档输出,方程求解,模型参数拟合,过程系统优化","计算几何,高级语言程序设计技术"
425,创业新浪潮：医药健康创新创业,"创业机会识别,市场趋势分析,需求洞察,商业模式,资源整合,供应链管理,合作网络建设",
426,航海概论,"航海的发展历程,船员文化,船舶的发展,船舶结构,船舶种类,救生消防设备,船舶通信设备,动力设备,航行计划制定,船舶定位导航,SOLAS公约,国际防止船舶造成污染公约",
427,以案说法,"法理学,宪法学,刑法学,民法学,经济法学,知识产权,行政法,环境法,市场竞争法,消费者权益保护,劳动法,债权法,法律,婚姻家庭法",
428,财务分析与决策,"经济学,财务报表,财务信息架构体系,企业价值创造过程,战略定位,战略执行,财务数据,商业决策,投资决策,风险管理,与外部投资者沟通,投资者关系管理,财务政策,市场估值,政府管理视角,宏观经济分析,投资人与分析师视角,风险评估,财务预测,公司估值",
429,财务分析与估值,"经济学,估值准备,预测报表,数据分析,财务预测,敏感性分析,自由现金流估值,自由现金流计算,折现率确定,估值模型,EVA估值,乘数法估值,乘数法原理,关于价值的一些认识,乘数法原理,比较分析,价值的本质,关于价值的一些认识,市场有效性,投资策略,",会计学
430,美术鉴赏,"艺术理论,西方艺术史,艺术观点,文化价值,时代价值,史前艺术,古典艺术,中世纪艺术,文艺复兴,后文艺复兴时期,9世纪艺术,浪漫主义,现实主义,现代艺术,当代艺术,跨文化,宗教,技术,艺术遗产,审美体验,创造性潜能",
431,分子生物学,"分子生物学,染色体病,细胞凋亡的分子机制,单基因病,基因结构,基因表达的表观遗传调控,DNA损伤,分子生物学,基因治疗,蛋白质分子,长链非编码RNA,常用组学研究,聚合酶链式反应,蛋白质印迹技术,分子生物学技术","生物化学,细胞生物学,生理学,病理生理学"
432,理工学术英语,"语言学,英语阅读,英语写作,英语听力,英语交流,英语翻译,英语词汇,英语语法",
433,C语言程序设计,"C语言的历史,C语言的特点,编译器和IDE,程序结构,控制结构,输入输出,文件操作,函数,指针,字符串处理,动态内存分配,结构体,联合体,枚举类型,预处理器,错误处理",
434,e时代的新课堂——在线教育概论,"教育学,在线教育概述,在线教育的理论基础,在线教育平台与工具,教学方法,质量保证,伦理与法律,个性化学习,技术创新",
435,高技术与现代局部战争,"高技术战争,近期高技术局部战争,高技术战争,我军高技术武器装备现状,军事战略,军事斗争,国防建设,国家安全,军事谋略,能力提升,军事谋略",
436,绿色建筑与可持续发展,"绿色建筑,可持续发展,国内外绿色建筑,绿色建筑评价,绿色建筑技术,被动式设计,主动式技术,水资源管理,材料与资源,社会文化差异,地域差异,政策与法规,技术策略,绿色建筑的成本效益分析,城市可持续发展",
437,晶体光学,"光学基础,晶体光学现象,晶体光学理论,光率体,光学主轴,光轴角,光轴角,均质体与非均质体,双折射晶体,色散和吸收,矿物光学性质,数据分析",
438,大学国文——北宋至现代文学赏析,"文学,中华文化,北宋文学,南宋文学,明清文学,近代文学,现代文学,文学理论与批评,文学流派,现实主义,浪漫主义,文化背景,历史脉络,作品赏析,文学创作",
439,创办新企业,"商业计划书,创业动机,机会识别,商业模式,市场定位,营销策略,财务规划,法律与合规,融资,投资,种子轮融资,风险投资,股权结构,资金管理,创业管理,产品开发,团队管理,运营模式,创业心态与精神",
440,微积分——极限理论与一元函数,"实数,函数,基本初等函数,极限理论,数列极限,极限运算法则,函数极限,实数完备性,连续性,微分学,导数的计算,积分学,不定积分,定积分,几何应用",
441,微积分——多元函数与重积分,"多元函数微分学,偏导数,全微分,方向导数与梯度,高阶偏导数,泰勒公式,隐函数定理,极值问题,最优化问题,几何应用,二重积分,三重积分,极坐标下的积分,第一型曲线积分,第二型曲线积分,格林公式,高斯散度定理,斯托克斯定理,一阶常微分方程,高阶常微分方程,微分方程",微积分——极限理论与一元函数
442,工程伦理,"工程伦理概述,《华盛顿协议》与工程伦理教育,工程师,工程职业伦理,工程实践中的伦理问题,跨文化,可持续发展,社会公正,安全与风险,伦理决策,中国工程伦理教育",
443,科研伦理与学术规范,"科研伦理概述,科研伦理的原则,学术规范,合作与同行评审,合作研究,同行评审,版权,知识产权,发表与出版,跨文化,科研伦理",
444,中国工笔人物画赏析与创作,"中国工笔人物画概述,艺术赏析,历代工笔人物名作欣赏,文化思想,艺术理论,艺术创作,创意与思考,创造性思维,工具与材料,工笔画工具",
445,影视制作入门,"摄像机使用,编辑系统操作,摄影构图,电视编辑规律,视听语言,作品分析,电视新闻制作,WORKSHOP,纪录片创作,微电影制作",新闻摄影
446,乐商对话,"积极心理学,乐商概述,乐商提升,社交生产力,自我认同,意志力,培养幽默感,道德与共情,人生格局",
447,计算机文化基础,"计算机文化,计算机硬件与软件,数据处理,信息安全,编程基础,算法设计,网络架构,网络协议,云计算概念,大数据技术,人工智能,机器学习,深度学习,自然语言处理,虚拟现实,增强现实,信息技术伦理与法律,计算思维",
448,健康信息学,"健康信息学概述,中医文化,健康信息学,中医理论基础,脏腑理论,经络理论,信息技术在中医药的应用,数据分析,健康信息管理,数据挖掘,人工智能,健康信息系统,健康信息学的伦理与法律",
449,动态几何,"动态几何基础,几何图形的动态特性,几何变换,平移变换,旋转变换,缩放变换,反射变换,几何测量,函数,解析几何,立体几何,概率统计",计算几何
450,机械原理,"机构结构分析,自由度计算,机构的运动分析,速度分析,加速度分析,机器动力学,齿轮机构,凸轮机构,连杆机构,综合运动分析,动力设计,机械系统方案设计",
451,明朝心学的智慧发展史：王阳明带你打土匪,"王阳明生平与心学思想,“致良知”,“知行合一”,心学在东亚的发展,心学与个人成长,心学与现代社会,历史",
452,环境规划,"环境规划概述,环境规划的原则与方法,生态系统,环境影响,土地利用规划,水资源管理,空气质量规划,城市与区域规划,可持续发展规划,可持续发展,环境政策与法规,环境规划案例研究,环境规划软件工具,环境规划与社会参与","线性代数,有机化学,无机化学,生态学"
453,一舞一世界——世界经典舞蹈赏析,"中国传统舞蹈,西方舞蹈,舞蹈文化与历史,文化,舞蹈表现手法,舞蹈理论与分析,舞蹈欣赏,舞蹈实践,跨文化",
454,光电仪器设计,"仪器设计方法,误差理论,阿贝误差,仪器设计原则,观测仪器设计,计量仪器设计,分析仪器设计,仪器关键部件,光学计量仪器实验,照片拍摄,后期制作",大学物理
455,意在象中——中国古典诗词鉴赏,"意象的概念,意象与意境,意象分析,诗词鉴赏,文化背景,诗词创作,文学流派,历史,诗词赏析,文化",
456,新媒体编创,"新媒体概念与历史形态,新媒体产业与新型文化形态,新媒体编创理论,新媒体产业,新媒体编创实践,国际与本土新媒体编创,跨文化,新媒体编创与专业结合",
457,计算化学,"计算化学概述,量子化学,波函数理论,薛定谔方程,哈密顿算符,哈特里-福克方法,自洽场（SCF）方法,密度泛函理论,分子轨道理论,分子间相互作用,范德华力,氢键,π-π堆积,分子动力学,经典分子动力学,量子分子动力学,反应机理研究,过渡态理论,软件工具与应用,软件操作",分析化学
458,儒家修身之道,"儒家修身概述,修身方法,心性修养,情绪管理,心理学,传统中医哲学,社会生活,个人成长,传承文明",
459,u.lab 1x：向未来学习 引领系统创变,"u.lab 1x 简介,全球挑战的深层根源,共同感知,数据的意义构建,自然流现,快速迭代原型,原型反馈循环,核心原则的学习,团队建设,沟通技巧,创新能力",
460,英文写作指导——写作入门,"语言学,写作基础知识,基本语法,句子写作,段落写作,文章结构,写作技巧",
461,管理学,"管理学概论,管理个体,组织文化,管理原理,决策制定,个体行为,管理人际,团队协作,团队建设,管理组织,管理学进展,中国传统文化",
462,病理学,"病理学概述,细胞损伤与适应,细胞死亡,炎症,修复与再生,肿瘤,血液病,心血管疾病,呼吸系统疾病,消化系统,泌尿系统,免疫系统,传染病,医学",
